K, WSSSE
3,7.854967890741055
4,7.483300873382301
5,7.184566233794476
6,6.915065443711793
7,6.6785022142708526
8,6.572565305719344
9,6.558414466568433
10,6.219528023750038
11,5.951711408563389
12,6.173769324254487
13,6.046086566639683
14,5.880921526056586
