K, WSSSE
3,7.626910943864319
4,7.240781473838079
5,6.96597459257283
6,6.710404890390156
7,6.469318268934286
8,6.309513309057999
9,5.968583759603573
10,6.26769417466047
11,5.852853168269805
12,5.840328840939317
13,5.725139727298264
