K, WSSSE
3,8.206702148749361
4,7.808529397893399
5,7.529701723117043
6,7.3161219249173985
7,6.997026016764146
8,7.045835327488943
9,6.605495132705738
10,6.657515867341505
11,6.680488802116871
12,6.405055995477709
13,6.274416388620533
14,6.1506891533714425
15,6.367263055711976
