K, WSSSE
3,9.644441624273426
4,9.250558631009588
5,8.954135114219113
6,8.666574283826941
7,8.501535787398891
8,8.101831644360681
9,8.310358048839515
10,7.600244815414191
11,8.051211558596416
12,7.851328641569586
13,7.7370901316794445
14,7.144030780595552
15,7.815302373818791
16,7.239213941766528
17,7.433312445856204
18,6.971954789899953
19,7.34535524629347
20,7.032200857536444
21,7.577276070023864
22,6.9383918982111155
23,6.345197994543531
